epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,75.6719,0.91615,0.93558,0.88491,0.90574,0.95455,0.995,0.64631,1.31211,0.91137,1.01184,0.00010666,0.00010666,0.00010666
89,76.4974,0.91438,0.9813,0.89672,0.91882,0.9229,0.995,0.64902,1.32183,0.89218,1.01599,9.90472e-05,9.90472e-05,9.90472e-05
90,77.3116,0.88101,1.02843,0.88581,0.93444,0.90455,0.995,0.64254,1.3328,0.91337,1.0211,9.14341e-05,9.14341e-05,9.14341e-05
91,104.643,0.89002,1.20574,0.90259,0.95407,0.88997,0.995,0.64273,1.33173,0.9139,1.02366,8.3821e-05,8.3821e-05,8.3821e-05
92,105.543,0.93341,1.14678,0.91011,0.96188,0.88564,0.995,0.63647,1.34411,0.92058,1.02148,7.62079e-05,7.62079e-05,7.62079e-05
93,106.384,0.88472,1.08321,0.89448,0.96622,0.88336,0.995,0.61431,1.34332,0.9311,1.02009,6.85948e-05,6.85948e-05,6.85948e-05
94,107.234,0.84968,1.08492,0.88982,0.96908,0.88253,0.995,0.61419,1.35129,0.94174,1.02227,6.09817e-05,6.09817e-05,6.09817e-05
95,108.091,0.87327,1.07366,0.88919,0.96853,0.88396,0.995,0.62229,1.35823,0.94166,1.02597,5.33686e-05,5.33686e-05,5.33686e-05
96,108.974,0.87223,1.13741,0.87232,0.96609,0.8873,0.995,0.62231,1.36054,0.92997,1.02571,4.57555e-05,4.57555e-05,4.57555e-05
97,109.825,0.84632,1.12061,0.87639,0.96493,0.89149,0.995,0.62218,1.36215,0.94049,1.02842,3.81424e-05,3.81424e-05,3.81424e-05
98,110.623,0.89665,1.16326,0.89429,0.96488,0.8932,0.995,0.62208,1.36168,0.9218,1.03054,3.05293e-05,3.05293e-05,3.05293e-05
99,111.443,0.86119,1.10408,0.89357,0.96506,0.89282,0.995,0.60974,1.36793,0.92103,1.03469,2.29162e-05,2.29162e-05,2.29162e-05
100,112.246,0.83949,1.07807,0.89254,0.96375,0.89317,0.995,0.6033,1.36991,0.91444,1.03436,1.53031e-05,1.53031e-05,1.53031e-05
